Vertice: 1, Nivel: 0, Pai: 1
Vertice: 26094, Nivel: 1, Pai: 26094
Vertice: 26000, Nivel: 1, Pai: 26000
Vertice: 25988, Nivel: 1, Pai: 25988
Vertice: 25964, Nivel: 1, Pai: 25964
Vertice: 25902, Nivel: 1, Pai: 25902
Vertice: 25362, Nivel: 1, Pai: 25362
Vertice: 25336, Nivel: 1, Pai: 25336
Vertice: 25335, Nivel: 1, Pai: 25335
Vertice: 25330, Nivel: 1, Pai: 25330
Vertice: 25326, Nivel: 1, Pai: 25326
Vertice: 25319, Nivel: 1, Pai: 25319
Vertice: 25297, Nivel: 1, Pai: 25297
Vertice: 25290, Nivel: 1, Pai: 25290
Vertice: 25279, Nivel: 1, Pai: 25279
Vertice: 25246, Nivel: 1, Pai: 25246
Vertice: 25241, Nivel: 1, Pai: 25241
Vertice: 25229, Nivel: 1, Pai: 25229
Vertice: 25169, Nivel: 1, Pai: 25169
Vertice: 25166, Nivel: 1, Pai: 25166
Vertice: 25163, Nivel: 1, Pai: 25163
Vertice: 25122, Nivel: 1, Pai: 25122
Vertice: 25120, Nivel: 1, Pai: 25120
Vertice: 25104, Nivel: 1, Pai: 25104
Vertice: 25091, Nivel: 1, Pai: 25091
Vertice: 25077, Nivel: 1, Pai: 25077
Vertice: 25051, Nivel: 1, Pai: 25051
Vertice: 25035, Nivel: 1, Pai: 25035
Vertice: 25010, Nivel: 1, Pai: 25010
Vertice: 25003, Nivel: 1, Pai: 25003
Vertice: 24998, Nivel: 1, Pai: 24998
Vertice: 24969, Nivel: 1, Pai: 24969
Vertice: 24946, Nivel: 1, Pai: 24946
Vertice: 24944, Nivel: 1, Pai: 24944
Vertice: 24942, Nivel: 1, Pai: 24942
Vertice: 24918, Nivel: 1, Pai: 24918
Vertice: 24890, Nivel: 1, Pai: 24890
Vertice: 24877, Nivel: 1, Pai: 24877
Vertice: 24876, Nivel: 1, Pai: 24876
Vertice: 24859, Nivel: 1, Pai: 24859
Vertice: 24838, Nivel: 1, Pai: 24838
Vertice: 24806, Nivel: 1, Pai: 24806
Vertice: 24703, Nivel: 1, Pai: 24703
Vertice: 24669, Nivel: 1, Pai: 24669
Vertice: 24619, Nivel: 1, Pai: 24619
Vertice: 24611, Nivel: 1, Pai: 24611
Vertice: 24608, Nivel: 1, Pai: 24608
Vertice: 24520, Nivel: 1, Pai: 24520
Vertice: 24424, Nivel: 1, Pai: 24424
Vertice: 24411, Nivel: 1, Pai: 24411
Vertice: 24232, Nivel: 1, Pai: 24232
Vertice: 24196, Nivel: 1, Pai: 24196
Vertice: 24167, Nivel: 1, Pai: 24167
Vertice: 24069, Nivel: 1, Pai: 24069
Vertice: 24023, Nivel: 1, Pai: 24023
Vertice: 23880, Nivel: 1, Pai: 23880
Vertice: 23796, Nivel: 1, Pai: 23796
Vertice: 23767, Nivel: 1, Pai: 23767
Vertice: 23765, Nivel: 1, Pai: 23765
Vertice: 23713, Nivel: 1, Pai: 23713
Vertice: 23671, Nivel: 1, Pai: 23671
Vertice: 23667, Nivel: 1, Pai: 23667
Vertice: 23662, Nivel: 1, Pai: 23662
Vertice: 23654, Nivel: 1, Pai: 23654
Vertice: 23640, Nivel: 1, Pai: 23640
Vertice: 23583, Nivel: 1, Pai: 23583
Vertice: 23536, Nivel: 1, Pai: 23536
Vertice: 23465, Nivel: 1, Pai: 23465
Vertice: 23455, Nivel: 1, Pai: 23455
Vertice: 23450, Nivel: 1, Pai: 23450
Vertice: 23431, Nivel: 1, Pai: 23431
Vertice: 23413, Nivel: 1, Pai: 23413
Vertice: 23394, Nivel: 1, Pai: 23394
Vertice: 23384, Nivel: 1, Pai: 23384
Vertice: 23354, Nivel: 1, Pai: 23354
Vertice: 23338, Nivel: 1, Pai: 23338
Vertice: 23331, Nivel: 1, Pai: 23331
Vertice: 23317, Nivel: 1, Pai: 23317
Vertice: 23314, Nivel: 1, Pai: 23314
Vertice: 23298, Nivel: 1, Pai: 23298
Vertice: 23245, Nivel: 1, Pai: 23245
Vertice: 23217, Nivel: 1, Pai: 23217
Vertice: 23195, Nivel: 1, Pai: 23195
Vertice: 23144, Nivel: 1, Pai: 23144
Vertice: 23099, Nivel: 1, Pai: 23099
Vertice: 23036, Nivel: 1, Pai: 23036
Vertice: 23032, Nivel: 1, Pai: 23032
Vertice: 23026, Nivel: 1, Pai: 23026
Vertice: 22973, Nivel: 1, Pai: 22973
Vertice: 22957, Nivel: 1, Pai: 22957
Vertice: 22950, Nivel: 1, Pai: 22950
Vertice: 22901, Nivel: 1, Pai: 22901
Vertice: 22890, Nivel: 1, Pai: 22890
Vertice: 22886, Nivel: 1, Pai: 22886
Vertice: 22867, Nivel: 1, Pai: 22867
Vertice: 22843, Nivel: 1, Pai: 22843
Vertice: 22833, Nivel: 1, Pai: 22833
Vertice: 22827, Nivel: 1, Pai: 22827
Vertice: 22824, Nivel: 1, Pai: 22824
Vertice: 22801, Nivel: 1, Pai: 22801
Vertice: 22799, Nivel: 1, Pai: 22799
Vertice: 22775, Nivel: 1, Pai: 22775
Vertice: 22768, Nivel: 1, Pai: 22768
Vertice: 22746, Nivel: 1, Pai: 22746
Vertice: 22704, Nivel: 1, Pai: 22704
Vertice: 22703, Nivel: 1, Pai: 22703
Vertice: 22621, Nivel: 1, Pai: 22621
Vertice: 22600, Nivel: 1, Pai: 22600
Vertice: 22541, Nivel: 1, Pai: 22541
Vertice: 22359, Nivel: 1, Pai: 22359
Vertice: 22354, Nivel: 1, Pai: 22354
Vertice: 22259, Nivel: 1, Pai: 22259
Vertice: 22236, Nivel: 1, Pai: 22236
Vertice: 22225, Nivel: 1, Pai: 22225
Vertice: 22212, Nivel: 1, Pai: 22212
Vertice: 22207, Nivel: 1, Pai: 22207
Vertice: 22184, Nivel: 1, Pai: 22184
Vertice: 22155, Nivel: 1, Pai: 22155
Vertice: 22149, Nivel: 1, Pai: 22149
Vertice: 22145, Nivel: 1, Pai: 22145
Vertice: 22142, Nivel: 1, Pai: 22142
Vertice: 22120, Nivel: 1, Pai: 22120
Vertice: 22035, Nivel: 1, Pai: 22035
Vertice: 22027, Nivel: 1, Pai: 22027
Vertice: 22023, Nivel: 1, Pai: 22023
Vertice: 22013, Nivel: 1, Pai: 22013
Vertice: 22011, Nivel: 1, Pai: 22011
Vertice: 21915, Nivel: 1, Pai: 21915
Vertice: 21901, Nivel: 1, Pai: 21901
Vertice: 21883, Nivel: 1, Pai: 21883
Vertice: 21882, Nivel: 1, Pai: 21882
Vertice: 21875, Nivel: 1, Pai: 21875
Vertice: 21869, Nivel: 1, Pai: 21869
Vertice: 21854, Nivel: 1, Pai: 21854
Vertice: 21850, Nivel: 1, Pai: 21850
Vertice: 21839, Nivel: 1, Pai: 21839
Vertice: 21832, Nivel: 1, Pai: 21832
Vertice: 21795, Nivel: 1, Pai: 21795
Vertice: 21786, Nivel: 1, Pai: 21786
Vertice: 21774, Nivel: 1, Pai: 21774
Vertice: 21730, Nivel: 1, Pai: 21730
Vertice: 21676, Nivel: 1, Pai: 21676
Vertice: 21611, Nivel: 1, Pai: 21611
Vertice: 21492, Nivel: 1, Pai: 21492
Vertice: 21451, Nivel: 1, Pai: 21451
Vertice: 21309, Nivel: 1, Pai: 21309
Vertice: 21293, Nivel: 1, Pai: 21293
Vertice: 21288, Nivel: 1, Pai: 21288
Vertice: 21244, Nivel: 1, Pai: 21244
Vertice: 21228, Nivel: 1, Pai: 21228
Vertice: 20774, Nivel: 1, Pai: 20774
Vertice: 20731, Nivel: 1, Pai: 20731
Vertice: 20727, Nivel: 1, Pai: 20727
Vertice: 20722, Nivel: 1, Pai: 20722
Vertice: 20681, Nivel: 1, Pai: 20681
Vertice: 20660, Nivel: 1, Pai: 20660
Vertice: 20655, Nivel: 1, Pai: 20655
Vertice: 20642, Nivel: 1, Pai: 20642
Vertice: 20598, Nivel: 1, Pai: 20598
Vertice: 20570, Nivel: 1, Pai: 20570
Vertice: 20509, Nivel: 1, Pai: 20509
Vertice: 20504, Nivel: 1, Pai: 20504
Vertice: 20458, Nivel: 1, Pai: 20458
Vertice: 20449, Nivel: 1, Pai: 20449
Vertice: 20427, Nivel: 1, Pai: 20427
Vertice: 20380, Nivel: 1, Pai: 20380
Vertice: 20356, Nivel: 1, Pai: 20356
Vertice: 20343, Nivel: 1, Pai: 20343
Vertice: 20293, Nivel: 1, Pai: 20293
Vertice: 20282, Nivel: 1, Pai: 20282
Vertice: 20218, Nivel: 1, Pai: 20218
Vertice: 20213, Nivel: 1, Pai: 20213
Vertice: 20201, Nivel: 1, Pai: 20201
Vertice: 20175, Nivel: 1, Pai: 20175
Vertice: 20172, Nivel: 1, Pai: 20172
Vertice: 20143, Nivel: 1, Pai: 20143
Vertice: 20140, Nivel: 1, Pai: 20140
Vertice: 20129, Nivel: 1, Pai: 20129
Vertice: 20100, Nivel: 1, Pai: 20100
Vertice: 20072, Nivel: 1, Pai: 20072
Vertice: 20069, Nivel: 1, Pai: 20069
Vertice: 20065, Nivel: 1, Pai: 20065
Vertice: 20036, Nivel: 1, Pai: 20036
Vertice: 20011, Nivel: 1, Pai: 20011
Vertice: 19982, Nivel: 1, Pai: 19982
Vertice: 19963, Nivel: 1, Pai: 19963
Vertice: 19958, Nivel: 1, Pai: 19958
Vertice: 19951, Nivel: 1, Pai: 19951
Vertice: 19927, Nivel: 1, Pai: 19927
Vertice: 19894, Nivel: 1, Pai: 19894
